snapshot_date,total_value_usd,invested_value_usd,cash_value_usd,cost_basis_usd,pnl_usd,return_pct,daily_pnl_usd,daily_return_pct,annualized_return_pct,updated_at_utc
2026-05-22,998.6026265315962,898.6026265315962,100.0,1000.0,-1.3973734684037709,-0.139737346840377,0.0,0.0,0.0,2026-05-22T18:15:25Z
2026-05-23,997.505208827244,897.505208827244,100.0,1000.0,-2.4947911727559813,-0.2494791172755981,-1.0974177043522104,-0.1098953352610161,-59.8174171898652,2026-05-23T14:38:52Z
2026-05-24,997.505208827244,897.505208827244,100.0,1000.0,-2.4947911727559813,-0.2494791172755981,0.0,0.0,-36.61026675388608,2026-05-24T14:38:26Z
2026-05-25,997.9918305331498,897.9918305331498,100.0,1000.0,-2.008169466850177,-0.2008169466850176,0.4866217059058044,0.0487838761742327,-21.696112807366784,2026-05-25T15:12:13Z
2026-05-26,1010.606518288614,910.606518288614,100.0,1000.0,10.60651828861387,1.0606518288613869,12.614687755464049,1.2640071160427229,161.88834672616332,2026-05-26T15:14:15Z
2026-05-27,1006.483921945738,906.483921945738,100.0,1000.0,6.483921945738075,0.6483921945738075,-4.122596342875909,-0.4079328866646551,60.28742079054303,2026-05-27T15:16:25Z
2026-05-28,1023.0504190527428,923.0504190527428,100.0,1000.0,23.05041905274265,2.305041905274265,16.566497107004693,1.6459773222187482,300.00902253156,2026-05-28T15:20:32Z
2026-05-29,1036.3570098272107,936.3570098272108,100.0,1000.0,36.35700982721073,3.635700982721073,13.306590774467963,1.3006779066459628,543.7301783912243,2026-05-29T15:18:18Z
2026-05-30,1039.9575167473308,939.9575167473308,100.0,1000.0,39.95751674733083,3.9957516747330826,3.6005069201200968,0.3474195558073564,497.4982990806473,2026-05-30T14:39:00Z
2026-05-31,1039.9575167473308,939.9575167473308,100.0,1000.0,39.95751674733083,3.9957516747330826,0.0,0.0,389.8657128150145,2026-05-31T14:39:48Z
2026-06-01,1050.3681534468951,950.3681534468952,100.0,1000.0,50.36815344689512,5.036815344689512,10.410636699564291,1.0010636523043346,501.1272545687607,2026-06-01T16:08:00Z
2026-06-02,1054.784083273796,954.784083273796,100.0,1000.0,54.784083273796114,5.478408327379611,4.415929826900992,0.4204173377124627,486.9610599154972,2026-06-02T15:34:34Z
2026-06-03,1041.7668815721493,941.7668815721491,100.0,1000.0,41.76688157214926,4.176688157214926,-13.017201701646854,-1.2341105547634537,247.15290123699813,2026-06-03T15:44:13Z
2026-06-04,1026.0842295731882,926.0842295731882,100.0,1000.0,26.084229573188168,2.6084229573188167,-15.682651998961092,-1.5053897639070766,106.05567931826725,2026-06-04T15:11:21Z
