snapshot_date,ticker,holding_name,target_weight,quantity,currency,price_native,fx_to_usd,price_usd,price_date,market_value_usd,cost_basis_usd,pnl_usd,return_pct,source,updated_at_utc
2026-05-22,000660.KS,SK Hynix,8.0,0.06255381664787371,KRW,1940000.0,0.0006591827325023275,1278.8145010545154,2026-05-21,79.99472782560626,80.0,-0.0052721743937382826,-0.006590217992172854,yfinance,2026-05-22T18:15:25Z
2026-05-22,AVGO,Broadcom,10.0,0.24174442565078924,USD,412.79998779296875,1.0,412.79998779296875,2026-05-22,99.79209595766405,100.0,-0.2079040423359544,-0.2079040423359544,yfinance,2026-05-22T18:15:25Z
2026-05-22,CASH,Cash,10.0,100.0,USD,1.0,1.0,1.0,2026-05-22,100.0,100.0,0.0,0.0,cash,2026-05-22T18:15:25Z
2026-05-22,CEG,Constellation Energy,5.0,0.16872601866634565,USD,293.95001220703125,1.0,293.95001220703125,2026-05-22,49.59701524661609,50.0,-0.4029847533839117,-0.8059695067678235,yfinance,2026-05-22T18:15:25Z
2026-05-22,GOOGL,Alphabet,15.0,0.38914544524780115,USD,384.57000732421875,1.0,384.57000732421875,2026-05-22,149.65366672913325,150.0,-0.3463332708667508,-0.23088884724450054,yfinance,2026-05-22T18:15:25Z
2026-05-22,MCO,Moody's,2.0,0.04446815983133366,USD,450.4800109863281,1.0,450.4800109863281,2026-05-22,20.032017129360984,20.0,0.03201712936098389,0.16008564680491943,yfinance,2026-05-22T18:15:25Z
2026-05-22,MSCI,MSCI,2.0,0.03390520077718733,USD,590.02001953125,1.0,590.02001953125,2026-05-22,20.004747224767023,20.0,0.0047472247670228285,0.023736123835114142,yfinance,2026-05-22T18:15:25Z
2026-05-22,MSFT,Microsoft,18.0,0.4293689203419845,USD,417.93499755859375,1.0,417.93499755859375,2026-05-22,179.4482986748633,180.0,-0.5517013251366905,-0.30650073618705026,yfinance,2026-05-22T18:15:25Z
2026-05-22,NVDA,NVIDIA,7.0,0.32316635855339604,USD,216.23500061035156,1.0,216.23500061035156,2026-05-22,69.87987773903869,70.0,-0.12012226096130973,-0.1716032299447282,yfinance,2026-05-22T18:15:25Z
2026-05-22,SPGI,S&P Global,2.0,0.04784803575986501,USD,419.2449951171875,1.0,419.2449951171875,2026-05-22,20.06004951851162,20.0,0.06004951851161877,0.30024759255809386,yfinance,2026-05-22T18:15:25Z
2026-05-22,TER,Teradyne,7.0,0.19585898487808723,USD,357.760009765625,1.0,357.760009765625,2026-05-22,70.07051234266989,70.0,0.07051234266988615,0.10073191809983736,yfinance,2026-05-22T18:15:25Z
2026-05-22,TSM,TSMC,7.0,0.17196693630964724,USD,406.4150085449219,1.0,406.4150085449219,2026-05-22,69.88994388972932,70.0,-0.1100561102706763,-0.15722301467239472,yfinance,2026-05-22T18:15:25Z
2026-05-22,VEEV,Veeva Systems,2.0,0.12514077764636197,USD,159.82000732421875,1.0,159.82000732421875,2026-05-22,20.0,20.0,0.0,0.0,yfinance,2026-05-22T18:15:25Z
2026-05-22,VRT,Vertiv,5.0,0.1522672617580549,USD,329.54998779296875,1.0,329.54998779296875,2026-05-22,50.179674253635774,50.0,0.17967425363577405,0.3593485072715481,yfinance,2026-05-22T18:15:25Z
